"OTU","OTU_prop","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU059","OTU059_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Vitreoscilla","unclassified"
"OTU566","OTU566_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","unclassified"
"OTU153","OTU153_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","anthropi"
"OTU560","OTU560_1","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Micropruina","unclassified"
"OTU603","OTU603_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","unclassified"
"OTU543","OTU543_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","T34","unclassified","unclassified"
"OTU086","OTU086_23","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","casseliflavus"
"OTU094","OTU094_1","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Mitsuokella","unclassified"
"OTU038","OTU038_085","Bacteria","Firmicutes","Bacilli","Lactobacillales","Enterococcaceae","Enterococcus","unclassified"
"OTU532","OTU532_1","Bacteria","Actinobacteriota","Actinobacteria","Micrococcales","Dermatophilaceae","Piscicoccus","intestinalis"
"OTU540","OTU540_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium","unclassified"
"OTU590","OTU590_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","unclassified"
"OTU147","OTU147_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU142","OTU142_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","piscium"
"OTU165","OTU165_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","unclassified","unclassified","unclassified"
"OTU544","OTU544_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Stappiaceae","Pannonibacter","phragmitetus"
"OTU563","OTU563_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechlorobacter","unclassified"
"OTU149","OTU149_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudomonadaceae","Pseudomonas","formosensis"
"OTU168","OTU168_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","plantarum"
"OTU174","OTU174_1","Bacteria","Cloacimonadota","Cloacimonadia","Cloacimonadales","Cloacimonadaceae","Candidatus Cloacimonas","unclassified"
"OTU545","OTU545_1","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","Actinomyces","minihominis"
"OTU139","OTU139_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Brachymonas","denitrificans"
"OTU154","OTU154_1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Hungateiclostridiaceae","Saccharofermentans","unclassified"
"OTU554","OTU554_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira","unclassified"
