"OTU","OTU_prop","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"OTU191","OTU191_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","lutivivi"
"OTU192","OTU192_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Pasteurellaceae","Actinobacillus","indolicus"
"OTU621","OTU621_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU193","OTU193_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Raoultella","ornithinolytica"
"OTU196","OTU196_1","Bacteria","Firmicutes","Bacilli","Exiguobacterales","Exiguobacteraceae","Exiguobacterium","sibiricum"
"OTU202","OTU202_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Psychrobacter","faecalis"
"OTU277","OTU277_1","Bacteria","Proteobacteria","Alphaproteobacteria","Azospirillales","Azospirillaceae","Azospirillum","halopraeferens"
"OTU203","OTU203_1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","unclassified"
"OTU204","OTU204_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU291","OTU291_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","veronii"
"OTU207","OTU207_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"OTU209","OTU209_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","unclassified"
"OTU210","OTU210_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Lelliottia","unclassified"
"OTU126","OTU126_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","gallolyticus"
"OTU346","OTU346_1","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus","unclassified"
"OTU361","OTU361_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","minor"
"OTU351","OTU351_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","caeni"
"OTU070","OTU070_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii"
"OTU216","OTU216_1","Bacteria","Cyanobacteria","Cyanobacteriia","Leptolyngbyales","Leptolyngbyaceae","unclassified","unclassified"
"OTU217","OTU217_1","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera","unclassified"
"OTU324","OTU324_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Paracoccus","unclassified"
"OTU057","OTU057_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Tannerellaceae","Macellibacteroides","unclassified"
"OTU220","OTU220_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechlorobacter","unclassified"
"OTU222","OTU222_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfuricurvum","unclassified"
"OTU305","OTU305_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU223","OTU223_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","unclassified"
"OTU224","OTU224_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","unclassified"
"OTU226","OTU226_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","unclassified"
"OTU228","OTU228_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU229","OTU229_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Empedobacter","brevis"
"OTU130","OTU130_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera","unclassified"
"OTU230","OTU230_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","unclassified"
"OTU231","OTU231_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","unclassified","unclassified"
"OTU232","OTU232_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","nitritireducens"
"OTU233","OTU233_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","guillouiae"
"OTU359","OTU359_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","acidaminiphila"
"OTU237","OTU237_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","unclassified"
"OTU238","OTU238_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU240","OTU240_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Candidatus Symbiobacter","unclassified"
"OTU241","OTU241_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Polaromonas","unclassified"
"OTU243","OTU243_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"OTU534","OTU534_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Pseudarcobacter","unclassified"
"OTU098","OTU098_35","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium","baculatum"
"OTU244","OTU244_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","unclassified"
"OTU247","OTU247_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira","unclassified"
"OTU019","OTU019_089","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Yersiniaceae","Yersinia","kristensenii"
"OTU251","OTU251_1","Bacteria","Firmicutes","Incertae Sedis","DTU014","unclassified","unclassified","unclassified"
"OTU252","OTU252_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Weissella","ghanensis"
"OTU253","OTU253_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","succinicans"
"OTU256","OTU256_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","deleyianum"
"OTU258","OTU258_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira","unclassified"
"OTU259","OTU259_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unclassified"
"OTU375","OTU375_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","unclassified"
"OTU261","OTU261_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","LD1-PB3","unclassified","unclassified","unclassified"
"OTU350","OTU350_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Tolumonas","unclassified"
"OTU265","OTU265_1","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Aminomonas","paucivorans"
"OTU266","OTU266_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Diaphorobacter","unclassified"
"OTU268","OTU268_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","unclassified"
"OTU269","OTU269_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","unclassified"
"OTU377","OTU377_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","T34","unclassified","unclassified"
"OTU271","OTU271_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","unclassified"
"OTU272","OTU272_1","Bacteria","Firmicutes","Incertae Sedis","DTU014","unclassified","unclassified","unclassified"
"OTU273","OTU273_1","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","unclassified","unclassified"
"OTU275","OTU275_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","carolinensis"
"OTU276","OTU276_1","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","unclassified","unclassified"
"OTU301","OTU301_1","Bacteria","Desulfobacterota","Syntrophia","Syntrophales","Smithellaceae","Smithella","unclassified"
"OTU306","OTU306_1","Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium","psychraerophilum"
"OTU155","OTU155_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","werkmanii"
"OTU278","OTU278_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","unclassified"
"OTU279","OTU279_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","unclassified"
"OTU281","OTU281_1","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium","unclassified"
"OTU282","OTU282_1","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","unclassified","unclassified","unclassified"
"OTU283","OTU283_1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix","unclassified"
"OTU284","OTU284_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","unclassified"
"OTU550","OTU550_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Xanthomonas","translucens"
"OTU115","OTU115_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","unclassified"
"OTU285","OTU285_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unclassified"
"OTU286","OTU286_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Acidovorax","defluvii"
"OTU287","OTU287_1","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","phenolicus"
"OTU288","OTU288_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","unclassified"
"OTU141","OTU141_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","cryaerophilus"
"OTU294","OTU294_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Rhodobacter","unclassified"
"OTU295","OTU295_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","parasuis"
"OTU296","OTU296_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium","rupense"
"OTU137","OTU137_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alishewanella","unclassified"
"OTU298","OTU298_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_7","unclassified"
"OTU299","OTU299_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Limosilactobacillus","unclassified"
"OTU300","OTU300_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Stenotrophomonas","unclassified"
"OTU083","OTU083_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium","unclassified"
"OTU125","OTU125_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","orisratti"
"OTU303","OTU303_1","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Acetobacterium","unclassified"
"OTU304","OTU304_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Ochrobactrum","unclassified"
"OTU307","OTU307_1","Bacteria","Actinobacteriota","Actinobacteria","Actinomycetales","Actinomycetaceae","unclassified","unclassified"
"OTU308","OTU308_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Neisseriaceae","Conchiformibius","unclassified"
"OTU309","OTU309_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechlorobacter","unclassified"
"OTU409","OTU409_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU310","OTU310_1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix","eikelboomii"
"OTU311","OTU311_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurimonadaceae","Sulfuricurvum","unclassified"
"OTU312","OTU312_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","unclassified","unclassified"
"OTU313","OTU313_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","unclassified","unclassified"
"OTU314","OTU314_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Hydrogenophilaceae","Thiobacillus","unclassified"
"OTU315","OTU315_1","Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae","Candidatus Competibacter","unclassified"
"OTU316","OTU316_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Denitratisoma","unclassified"
"OTU317","OTU317_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alishewanella","unclassified"
"OTU319","OTU319_1","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","unclassified","unclassified"
"OTU321","OTU321_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Lysobacter","oligotrophicus"
"OTU322","OTU322_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","unclassified"
"OTU402","OTU402_1","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseomonas","genomospecies"
"OTU323","OTU323_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Gemmobacter","unclassified"
"OTU325","OTU325_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chromobacteriaceae","Gulbenkiania","mobilis"
"OTU326","OTU326_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","delbrueckii"
"OTU327","OTU327_1","Bacteria","Bacteroidota","Bacteroidia","Cytophagales","Microscillaceae","OLB12","unclassified"
"OTU328","OTU328_1","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Mitsuokella","unclassified"
"OTU329","OTU329_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","ultunensis"
"OTU394","OTU394_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Puniceicoccaceae","unclassified","unclassified"
"OTU330","OTU330_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Rhodoferax","unclassified"
"OTU331","OTU331_1","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","trevisanii"
"OTU332","OTU332_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","raffinolactis"
"OTU132","OTU132_8","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","caviae"
"OTU333","OTU333_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Niveibacterium","unclassified"
"OTU334","OTU334_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","unclassified"
"OTU335","OTU335_1","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","simplex"
"OTU397","OTU397_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium","unclassified"
"OTU336","OTU336_1","Bacteria","Firmicutes","Clostridia","Clostridia UCG-014","unclassified","unclassified","unclassified"
"OTU337","OTU337_1","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Nocardia","asteroides"
"OTU338","OTU338_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Afipia","unclassified"
"OTU339","OTU339_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Brachymonas","unclassified"
"OTU340","OTU340_1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002","unclassified"
"OTU342","OTU342_1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","NK4A214 group","unclassified"
"OTU343","OTU343_1","Bacteria","Desulfobacterota","Desulfovibrionia","Desulfovibrionales","Desulfomicrobiaceae","Desulfomicrobium","baculatum"
"OTU681","OTU681_1","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Acetoanaerobium","unclassified"
"OTU136","OTU136_1","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Leptotrichia","unclassified"
"OTU344","OTU344_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","freundii"
"OTU345","OTU345_1","Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Atopobium","unclassified"
"OTU347","OTU347_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","DEV114","unclassified"
"OTU348","OTU348_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","unclassified","unclassified"
"OTU349","OTU349_1","Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus","unclassified"
"OTU140","OTU140_1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix","unclassified"
"OTU352","OTU352_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium","unclassified"
"OTU353","OTU353_1","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","unclassified","unclassified"
"OTU354","OTU354_1","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","unclassified","unclassified","unclassified"
"OTU355","OTU355_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-001","unclassified"
"OTU356","OTU356_1","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium","unclassified"
"OTU357","OTU357_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Paucilactobacillus","unclassified"
"OTU358","OTU358_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Buttiauxella","agrestis"
"OTU360","OTU360_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Limnohabitans","unclassified"
"OTU362","OTU362_1","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Thermomonas","unclassified"
"OTU363","OTU363_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Citrobacter","freundii"
"OTU364","OTU364_1","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Anaeromusa-Anaeroarcus","unclassified"
"OTU365","OTU365_1","Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriaceae","Eubacterium","aggregans"
"OTU366","OTU366_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU021","OTU021_014","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","dhakensis"
"OTU367","OTU367_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alishewanella","unclassified"
"OTU368","OTU368_1","Bacteria","Chloroflexi","Anaerolineae","Anaerolineales","Anaerolineaceae","unclassified","unclassified"
"OTU369","OTU369_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Simplicispira","unclassified"
"OTU401","OTU401_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","orisratti"
"OTU429","OTU429_1","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","unclassified","unclassified","unclassified"
"OTU370","OTU370_1","Bacteria","Desulfobacterota","Desulfuromonadia","Geobacterales","Geobacteraceae","Trichlorobacter","unclassified"
"OTU371","OTU371_1","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniciclava","unclassified"
"OTU372","OTU372_1","Bacteria","Firmicutes","Syntrophomonadia","Syntrophomonadales","Syntrophomonadaceae","Syntrophomonas","unclassified"
"OTU373","OTU373_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU374","OTU374_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Sulfurospirillaceae","Sulfurospirillum","unclassified"
"OTU396","OTU396_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","unclassified"
"OTU302","OTU302_1","Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae UCG-003","bacterium"
"OTU376","OTU376_1","Bacteria","Actinobacteriota","Actinobacteria","Corynebacteriales","Nocardiaceae","Rhodococcus","erythropolis"
"OTU378","OTU378_1","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Micropruina","unclassified"
"OTU379","OTU379_1","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","Desulfobulbus","unclassified"
"OTU380","OTU380_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU669","OTU669_1","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","parasuis"
"OTU381","OTU381_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Bacteroidaceae","Bacteroides","vulgatus"
"OTU382","OTU382_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU383","OTU383_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Chitinibacteraceae","Formivibrio","unclassified"
"OTU384","OTU384_1","Bacteria","Actinobacteriota","Actinobacteria","Propionibacteriales","Propionibacteriaceae","Propioniciclava","unclassified"
"OTU385","OTU385_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechloromonas","unclassified"
"OTU464","OTU464_1","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium","unclassified"
"OTU131","OTU131_095","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU386","OTU386_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","U29-B03","unclassified"
"OTU387","OTU387_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Thauera","unclassified"
"OTU480","OTU480_1","Bacteria","Bdellovibrionota","Bdellovibrionia","Bacteriovoracales","Bacteriovoracaceae","unclassified","unclassified"
"OTU665","OTU665_1","Bacteria","Campylobacterota","Campylobacteria","Campylobacterales","Arcobacteraceae","Arcobacter","cryaerophilus"
"OTU389","OTU389_1","Bacteria","Synergistota","Synergistia","Synergistales","Synergistaceae","Thermovirga","unclassified"
"OTU390","OTU390_1","Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Paludibacteraceae","Paludibacter","unclassified"
"OTU391","OTU391_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU392","OTU392_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Delftia","tsuruhatensis"
"OTU393","OTU393_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","C39","unclassified"
"OTU667","OTU667_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Aeromonas","caviae"
"OTU395","OTU395_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Klebsiella","pneumoniae"
"OTU398","OTU398_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Propionivibrio","unclassified"
"OTU399","OTU399_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","Alishewanella","unclassified"
"OTU400","OTU400_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Cloacibacterium","unclassified"
"OTU403","OTU403_1","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Aeromonadaceae","Tolumonas","unclassified"
"OTU404","OTU404_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU405","OTU405_1","Bacteria","Proteobacteria","Gammaproteobacteria","Thiotrichales","Thiotrichaceae","Thiothrix","eikelboomii"
"OTU493","OTU493_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Zoogloea","unclassified"
"OTU235","OTU235_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","terrigena"
"OTU406","OTU406_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Dechlorobacter","unclassified"
"OTU407","OTU407_1","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","unclassified"
"OTU408","OTU408_1","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Shinella","unclassified"
"OTU410","OTU410_1","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sebaldella","termitidis"
"OTU411","OTU411_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Rhodocyclaceae","Sulfuritalea","unclassified"
"OTU412","OTU412_1","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Chryseobacterium","unclassified"
"OTU413","OTU413_1","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","unclassified"
"OTU414","OTU414_1","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera","unclassified"
